FentyMascara,,,,,,,,
web-scraper-order,web-scraper-start-url,ReviewLink,ReviewLink-href,Pagination,Title,Date,UserID,ReviewText
1738781940-28,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,A fantastic mascara!,25 d ago,AnnHannah,"Fantastic mascara, from someone who is very picky! I seldom find mascaras that I feel work with my eyelashes and don’t get clumpy or look like spider legs. I like a thin but elongating coat and this is perfect for that! I prefer a different applicator usually but this works very well!"
1738781940-29,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Fab Fenty,25 d ago,egonza78,"This is probably the best mascara I’ve ever had. It adds volume, thickens, and makes my lashes longer. Loved the black tint and easy application. Packaging was clean and easy to read. I love it!! Definitely worth the price and a great product. I would recommend it."
1738781940-30,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Great mascara!,25 d ago,vmnguyen07,Mascara glided on effortlessly. Was able to apply layers without it looking clumpy or flakey. It didn’t smear when I wore it all day for work. Packaging makes it look fancy for the price. Would recommend this product to try!
1738781940-31,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,The best ever,25 d ago,Aaliyaharriott,This mascara is so good! It left my lashes looking full and the volume is crazy! Absolutely understand the hype. The formula is a perfect combination of not being to dry or wet which is typically what I go for in mascaras!
1738781940-32,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Natural looking hella- thic lashes,26 d ago,Dkkk,"The best mascara hands down!! After using all kinds of mascara , i can tell this is the best i came up with , for those girlies who dnt have longer lashes.."
1738781940-33,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Volume & thickness for hours,26 d ago,lovue,"I am in love! From the packaging to the product,  everything is so well thought out. It has the applicator wand has the bristles in all the correct places to give you lashes with volume. I have very things flat lashes, and this has completely changed the eyelash game for me. Usually, I will have watery eyes with some eye lash products, but with this one, I don't have to worry about that at all. Highly recommend 10/10 I received this a a review"
1738781940-34,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Great product,26 d ago,TracyEmily1o1,I received this product for free and I am an absolute love it stays on so well throughout the day and applies very easy and is a great value
1738781940-35,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Love the Lashes!!,26 d ago,SNH31,"I love the bold, black shade of this mascara! I also really like the shape of this wand. It's easy-to-apply to lashes, with minimal tugging and pulling. Clumping was minimal, but I did comb through my lashes with a separator, after applying several coats of this mascara. Overall, I do recommend Fenty's Hella Thicc Mascara, and I will continue to use it!!"
1738781940-36,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Pretty good,27 d ago,FosterMom1,"The Hella Thic Volumizing Mascara is an 8/10. It loses points because I don’t feel as though it thickened my lashes at all. It lengthened and curled, but there were a good bit of flakes on my face by 10am."
1738781940-37,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Love,27 d ago,BoyMomx84,"Fenty Beauty Hella Thicc Volumizing Mascara is a top-notch product that delivers a transformation. The applicator makes it easy to apply and reach all lashes giving a fuller look. I prefer a black shade mascara and love the deep rich black that it provides. This mascara is waterproof and doesn’t flake or smudge. I highly recommend the Fenty Beauty Hella Thicc Volumizing Mascara to anyone looking for a reliable, volumizing, lengthening mascara that will stay put!"
