web-scraper-order,web-scraper-start-url,ReviewLink,ReviewLink-href,Pagination,ReviewText,Date,Title,UserID
1738799716-43,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"The UBE blush filter by Huda Beauty is fantastic! It gives a natural, healthy glow to your cheeks, blending seamlessly with your skin tone. Perfect to enhances your features effortlessly. Definitely worth a try! Great pigment and so beautiful.",10 d ago,Must have in your makeup bag!,chey7926
1738799716-44,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,by huda beauty - this color is so beautiful I am so obsessed!!! It goes on so smoothly and looks so stunning and the pigment is so beautiful as well! Def will be using all the time ! Absolutely wow love,10 d ago,,kattseven29
1738799716-45,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"Love love love this color! I have never used this shade of pink on my skin before (I have tan/medium tone skin) and I am absolutely in love with this shade. This liquid blush is super pigmented, a little goes a long way.",10 d ago,Beautiful on tan skin!,chloeangelique
1738799716-46,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,I love this blush and the way it sets. Want to get the Ube cause I have seen the reviews,10 d ago,Lovely blush,sansh1
1738799716-47,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"INSANELY AMAZING BLUSH. This blush is absolutely amazing! Not only does it blend amazingly, it looks great. The shade matches perfectly for my skin tone and it makes my makeup look even better!! Everyone needs!!",10 d ago,So good!,hannahq004
1738799716-48,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,I am usually not the biggest fan of pink blushes but this one is so beautiful. I would describe it as being a bubble gum pink. Since this blush is so vibrant I usually prefer it on my full glam days and it looks absolutely gorgeous.,10 d ago,The Bubble Gum Pink of Blushea,celina101
1738799716-49,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,This blush is SOOOO pigmented!! It’s buildable and a little goes a long way. It’s such a girly color and I think it would look great on all skin tones. I can definitely see this being my go to summer blush!,10 d ago,,Jasmynekay
1738799716-50,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,"This is a very pretty light purple blush - a little goes a LONG WAY, it is very pigmented. It has a slight candy like scent to it. I have super pale skin but I'm not sure how it would look on a darker skin tone.",10 d ago,,vgnbeautyaddict
1738799716-51,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,Absolutely love Huda beauty products they are so beautiful and this blush is so great. Goes on so easy and effortlessly the perfect color and addition to my make up routine I will definitely be repurchasing again,10 d ago,Very pretty,Ash91688
1738799716-52,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product,3.2K,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2828911&icid2=products%20grid:p510756:product#ratings-reviews-container,,I use this product in “latte” to “blonze” my face as the influencers call it. It’s great for a quick makeup routine for the perfect blush/bronzer combo in one! Blends beautifully and is very pigmented! Huda has done it again 🤩,10 d ago,YES 100x,Chelephantz
